2025-08-01,Food,15.50
2025-08-01,Transport,7.00
2025-08-02,Food,12.00
2025-08-02,Utilities,50.00
2025-08-03,Entertainment,20.00
2025-08-04,Transport,10.00
2025-08-05,Food,8.50
2025-08-06,Health,25.00
2025-08-07,Utilities,45.00
2025-08-08,Education,100.00
2025-08-09,Entertainment,30.00
2025-08-10,Food,22.00
2025-08-11,Transport,15.00
2025-08-12,Health,40.00
2025-08-13,Food,18.50
2025-08-14,Miscellaneous,12.00
2025-08-15,Education,50.00
2025-08-16,Utilities,55.00
2025-08-17,Transport,9.00
2025-08-18,Entertainment,25.00
2025-08-19,Food,20.00
